               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.014963,            0.015527,            0.002114,             0.91145,             0.92851,             0.94286,             0.66962,            0.024655,            0.043944,           0.0035764,            0.008317,            0.008317,            0.008317
                  87,            0.014834,            0.015641,           0.0021082,             0.89065,             0.93839,             0.94398,             0.64453,             0.02488,            0.043525,           0.0035074,           0.0082972,           0.0082972,           0.0082972
                  88,            0.015151,            0.015358,           0.0020566,             0.89865,             0.96465,             0.95882,             0.65894,            0.024302,            0.040553,           0.0033757,           0.0082774,           0.0082774,           0.0082774
                  89,            0.015065,             0.01513,           0.0021578,             0.90602,             0.96676,             0.95656,             0.65532,            0.025053,            0.042743,           0.0034736,           0.0082576,           0.0082576,           0.0082576
                  90,            0.014535,             0.01485,           0.0020898,             0.92664,             0.95939,             0.95414,             0.65419,            0.024656,            0.042839,            0.003433,           0.0082378,           0.0082378,           0.0082378
                  91,            0.015011,             0.01467,           0.0019794,             0.92046,             0.96015,             0.96267,             0.66209,            0.025062,            0.043244,           0.0034763,            0.008218,            0.008218,            0.008218
                  92,            0.014871,            0.015164,           0.0021605,             0.90983,             0.92674,             0.94632,             0.65989,            0.024953,            0.043824,           0.0037264,           0.0081982,           0.0081982,           0.0081982
                  93,            0.015374,            0.015674,           0.0020772,             0.91337,             0.93373,             0.94799,             0.67488,            0.024792,            0.043958,           0.0038671,           0.0081784,           0.0081784,           0.0081784
                  94,            0.015154,            0.015906,           0.0021519,              0.9089,             0.92333,             0.93842,             0.63846,            0.025951,             0.04402,            0.003509,           0.0081586,           0.0081586,           0.0081586
                  95,            0.015161,             0.01554,           0.0019946,             0.90324,             0.93502,             0.93323,             0.64739,            0.025002,            0.040962,           0.0034832,           0.0081388,           0.0081388,           0.0081388
                  96,            0.014902,            0.015603,           0.0023021,             0.93038,              0.9318,             0.93029,              0.6431,             0.02513,            0.043171,           0.0038565,            0.008119,            0.008119,            0.008119
                  97,            0.015086,            0.015361,            0.002121,             0.91824,             0.92938,             0.93396,             0.66021,            0.024542,            0.040862,           0.0034692,           0.0080992,           0.0080992,           0.0080992
                  98,            0.015201,            0.015459,           0.0021317,             0.92362,             0.92698,             0.93335,             0.64766,            0.024992,            0.044255,           0.0036478,           0.0080794,           0.0080794,           0.0080794
                  99,            0.015155,            0.015253,           0.0020531,              0.9116,             0.93629,             0.95348,             0.66291,            0.025037,            0.041171,           0.0034614,           0.0080596,           0.0080596,           0.0080596
                 100,            0.015051,            0.015439,           0.0020853,             0.90534,             0.93722,             0.94739,             0.66403,            0.024744,            0.039467,           0.0034417,           0.0080398,           0.0080398,           0.0080398
                 101,            0.015432,            0.015088,           0.0021611,             0.90771,             0.93046,             0.94641,             0.65725,            0.024548,            0.040926,           0.0035489,             0.00802,             0.00802,             0.00802
                 102,             0.01426,             0.01594,           0.0019952,             0.90677,             0.93622,             0.94988,             0.66111,            0.024867,            0.042507,           0.0033874,           0.0080002,           0.0080002,           0.0080002
                 103,            0.014485,            0.014971,           0.0018695,             0.92597,             0.94766,             0.94332,             0.66507,            0.024586,             0.04075,           0.0032751,           0.0079804,           0.0079804,           0.0079804
                 104,            0.015447,            0.014998,           0.0021776,              0.9279,             0.93869,               0.942,             0.66431,            0.024891,            0.040872,           0.0032742,           0.0079606,           0.0079606,           0.0079606
                 105,            0.015312,             0.01531,           0.0020807,             0.90646,             0.93536,             0.93628,             0.64541,            0.024984,            0.040914,           0.0034123,           0.0079408,           0.0079408,           0.0079408
                 106,            0.015082,            0.015872,           0.0021316,             0.91809,             0.93553,             0.93456,             0.65445,            0.024626,            0.041317,           0.0032422,            0.007921,            0.007921,            0.007921
                 107,            0.014681,            0.014517,           0.0020425,             0.91715,             0.94057,             0.94174,             0.66212,            0.025037,             0.04123,           0.0031718,           0.0079012,           0.0079012,           0.0079012
                 108,            0.015506,            0.015317,           0.0019915,             0.90711,             0.93366,             0.94705,             0.65992,            0.024909,            0.040549,           0.0033811,           0.0078814,           0.0078814,           0.0078814
                 109,            0.015139,            0.015074,           0.0020526,             0.90684,             0.94314,             0.95146,             0.67505,            0.024648,            0.040576,           0.0034595,           0.0078616,           0.0078616,           0.0078616
                 110,            0.014796,            0.015033,           0.0019526,             0.91198,             0.93515,             0.95237,             0.66287,            0.024766,            0.041751,           0.0034233,           0.0078418,           0.0078418,           0.0078418
                 111,            0.014591,            0.015328,           0.0022331,             0.90675,             0.94202,             0.93756,              0.6512,            0.024549,            0.042517,           0.0033723,            0.007822,            0.007822,            0.007822
                 112,             0.01495,            0.015498,           0.0019323,             0.94193,             0.93013,             0.94838,             0.65753,            0.024586,            0.042054,            0.003532,           0.0078022,           0.0078022,           0.0078022
                 113,            0.014815,             0.01529,           0.0020177,               0.908,             0.93175,             0.94399,             0.65074,             0.02532,            0.042976,           0.0035618,           0.0077824,           0.0077824,           0.0077824
                 114,            0.013869,            0.015082,            0.001902,              0.9077,             0.93707,             0.93995,             0.66341,            0.024837,            0.041107,           0.0034408,           0.0077626,           0.0077626,           0.0077626
                 115,            0.013673,            0.014411,           0.0018441,             0.89648,              0.9448,             0.94686,             0.66519,            0.024602,            0.041608,           0.0034492,           0.0077428,           0.0077428,           0.0077428
                 116,            0.014319,            0.014651,           0.0018995,             0.91068,             0.93839,              0.9491,             0.66211,            0.024567,            0.042796,           0.0034431,            0.007723,            0.007723,            0.007723
                 117,             0.01458,            0.014044,           0.0019922,             0.91317,             0.93572,             0.94703,             0.66132,            0.024894,            0.045406,           0.0035553,           0.0077032,           0.0077032,           0.0077032
                 118,            0.014596,            0.015088,           0.0019145,             0.90227,             0.91579,             0.93481,             0.66073,            0.024513,            0.043717,           0.0035594,           0.0076834,           0.0076834,           0.0076834
                 119,            0.014054,            0.014939,           0.0018648,             0.91182,             0.92872,             0.93153,             0.65134,            0.024906,            0.044585,           0.0036009,           0.0076636,           0.0076636,           0.0076636
                 120,            0.014139,            0.015116,           0.0019719,             0.91298,              0.9371,             0.93311,             0.65079,            0.024608,            0.043333,           0.0031383,           0.0076438,           0.0076438,           0.0076438
                 121,             0.01462,            0.014862,           0.0018432,             0.91257,              0.9367,              0.9385,              0.6721,            0.024617,            0.042285,           0.0031309,            0.007624,            0.007624,            0.007624
                 122,             0.01452,            0.016069,           0.0019759,             0.91495,             0.93787,             0.94143,             0.65261,            0.024684,            0.041348,           0.0035388,           0.0076042,           0.0076042,           0.0076042
                 123,            0.014646,            0.015103,               0.002,             0.93261,             0.93486,             0.93891,             0.65979,            0.024139,            0.040903,           0.0033625,           0.0075844,           0.0075844,           0.0075844
                 124,             0.01482,             0.01492,           0.0019587,             0.93224,              0.9285,             0.94062,             0.65579,            0.024371,            0.040597,            0.003453,           0.0075646,           0.0075646,           0.0075646
                 125,             0.01488,            0.015926,           0.0019832,             0.91604,             0.96224,             0.96189,             0.64914,            0.024477,            0.040109,           0.0032296,           0.0075448,           0.0075448,           0.0075448
                 126,            0.014942,            0.015268,           0.0018687,             0.90232,             0.92747,             0.94876,             0.66388,            0.024695,            0.040474,           0.0040281,            0.007525,            0.007525,            0.007525
                 127,            0.014513,            0.015283,            0.001923,             0.92961,             0.93488,             0.94483,             0.66407,            0.024584,            0.042613,           0.0034073,           0.0075052,           0.0075052,           0.0075052
                 128,            0.014212,            0.015728,            0.002094,             0.91004,             0.93689,             0.93896,             0.65957,            0.024267,             0.04185,           0.0039597,           0.0074854,           0.0074854,           0.0074854
                 129,            0.014725,            0.014992,           0.0019264,             0.90541,             0.93038,             0.93922,             0.64988,            0.024471,            0.043048,           0.0034359,           0.0074656,           0.0074656,           0.0074656
                 130,            0.014336,            0.014915,           0.0018972,             0.89942,             0.93532,             0.94611,             0.66001,            0.024873,            0.043412,           0.0033342,           0.0074458,           0.0074458,           0.0074458
                 131,            0.014033,            0.015549,           0.0019251,             0.90711,             0.93024,             0.94488,             0.65469,            0.024665,             0.04198,           0.0032933,            0.007426,            0.007426,            0.007426
                 132,            0.014159,             0.01513,           0.0018409,             0.93489,             0.93161,             0.93617,             0.65027,            0.024257,            0.042359,           0.0033122,           0.0074062,           0.0074062,           0.0074062
                 133,            0.013862,            0.014834,           0.0019018,             0.93583,             0.93386,             0.94835,             0.66843,            0.024436,            0.043394,           0.0034765,           0.0073864,           0.0073864,           0.0073864
                 134,            0.014699,            0.015579,           0.0019346,               0.933,             0.93352,             0.94735,             0.65793,            0.024814,            0.042933,           0.0037532,           0.0073666,           0.0073666,           0.0073666
